Program Time [s],Temp,Humid
2080.92,30.76,13
2081.92,30.76,14
2082.92,30.76,18
2083.92,31.25,23
2084.92,31.25,27
2085.93,31.25,26
2086.93,30.76,18
2087.93,30.76,19
2088.93,30.76,18
2089.93,31.25,20
2090.93,30.76,15
2091.93,30.76,13
2092.93,30.76,12
2093.93,31.25,12
2094.93,30.76,10
2095.94,30.76,10
2096.94,30.76,10
2097.94,30.76,10
2098.94,31.25,12
2099.94,31.25,10
2100.94,31.25,8
2101.94,30.76,9
2102.94,30.76,19
2103.94,31.25,18
2104.95,30.76,15
2105.95,30.76,15
2106.95,30.76,10
2107.95,30.76,9
2108.95,31.25,11
2109.95,31.25,12
2110.95,30.76,10
2111.95,30.76,22
2112.95,31.25,37
2113.96,31.25,32
2114.96,31.25,28
2115.96,30.76,24
2116.96,31.25,24
2117.96,31.25,31
2118.96,31.25,22
2119.96,31.25,20
2120.97,30.76,16
2121.96,30.76,11
2122.96,31.25,16
2123.97,31.25,16
2124.97,31.25,16
2125.97,31.25,13
2126.97,31.25,12
2127.97,30.76,11
2128.97,30.76,14
2129.97,30.76,12
2130.98,31.25,11
2131.97,30.76,11
2132.98,30.76,12
2133.98,31.25,29
2134.98,31.25,44
2135.98,30.76,30
2136.98,30.76,32
2137.98,31.25,42
2138.98,31.25,48
2139.99,31.25,48
2140.99,30.76,44
2141.99,31.25,49
2142.99,31.25,51
2143.99,31.25,46
2144.99,30.76,32
2145.99,31.25,40
2146.99,31.25,47
2147.99,31.25,33
2149,30.76,35
2150,31.25,39
2151,31.25,41
2152,30.76,33
2153,30.76,32
2154,30.76,29
2155,30.76,31
2156,30.76,30
2157,30.76,28
2158,30.76,24
2159.01,30.76,25
2160.01,31.25,27
2161.01,30.76,23
2162.01,30.76,16
2163.01,30.76,16
2164.01,31.25,17
2165.01,30.76,16
2166.01,31.25,16
2167.01,30.76,13
2168.02,30.76,21
2169.02,31.25,34
2170.02,30.76,28
2171.02,30.76,29
2172.02,31.25,31
2173.02,30.76,26
2174.02,30.76,29
2175.03,31.25,34
2176.02,30.76,27
2177.03,30.76,22
2178.03,30.76,27
2179.03,31.25,28
2180.03,31.25,13
2181.03,31.25,19
2182.03,31.25,19
2183.03,31.25,9
2184.04,31.25,15
2185.04,31.25,19
2186.03,31.25,17
2187.04,30.76,15
2188.04,31.25,16
2189.04,31.25,18
2190.04,30.76,14
2191.04,30.76,12
2192.04,30.76,12
2193.04,30.76,11
2194.05,30.76,12
2195.05,31.25,13
2196.05,31.25,14
2197.05,30.76,11
2198.05,30.76,9
2199.05,30.76,11
2200.05,30.76,10
2201.05,30.76,10
2202.05,30.76,9
2203.06,30.76,9
2204.06,30.76,8
2205.06,30.76,9
2206.06,30.76,9
2207.06,30.76,9
2208.06,30.76,9
2209.06,30.76,7
2210.06,30.76,9
2211.06,30.76,6
2212.06,30.76,5
2213.07,30.76,9
2214.07,30.76,9
2215.07,30.76,9
2216.07,30.76,10
2217.07,30.76,9
2218.07,30.76,8
2219.07,30.76,7
2220.07,30.76,10
2221.07,30.76,12
2222.07,30.76,9
2223.08,30.76,7
2224.08,30.76,10
2225.08,31.25,11
2226.08,30.76,8
2227.08,30.76,9
2228.08,30.76,9
2229.08,30.76,20
2230.08,31.25,11
2231.09,31.25,11
2232.09,30.76,9
2233.09,30.76,9
2234.09,30.76,9
2235.09,30.76,9
2236.09,30.76,10
2237.09,30.76,9
2238.09,30.76,8
2239.09,30.76,10
2240.09,30.76,9
2241.1,30.76,9
2242.1,30.76,8
2243.1,31.25,11
2244.1,31.25,11
2245.1,31.25,7
2246.1,30.76,6
2247.1,30.76,11
2248.11,31.25,30
2249.1,31.74,40
2250.11,31.74,44
2251.11,31.25,39
2252.11,31.25,39
2253.11,31.74,38
2254.11,31.74,34
2255.11,31.25,30
2256.11,31.25,23
2257.12,30.76,20
2258.12,31.25,20
2259.11,30.76,17
2260.12,30.76,18
2261.12,30.76,14
2262.12,30.76,15
2263.12,31.25,17
2264.12,30.76,12
2265.12,30.76,14
2266.12,30.76,9
2267.13,30.76,8
2268.13,30.76,11
2269.13,30.76,11
2270.13,31.25,8
2271.13,30.76,6
2272.13,30.76,7
2273.13,30.76,9
2274.13,30.76,11
2275.13,30.76,14
2276.14,31.25,17
2277.14,31.25,15
2278.14,30.76,10
2279.14,30.76,11
2280.14,30.76,10
2281.14,30.76,10
2282.14,30.76,10
2283.14,31.25,13
2284.14,31.25,15
2285.15,31.25,20
2286.15,30.76,14
2287.15,30.76,11
2288.15,30.76,15
2289.15,31.25,17
2290.15,31.25,18
2291.15,31.25,15
2292.16,30.76,12
2293.16,30.76,15
2294.15,31.25,17
2295.16,31.25,18
2296.16,30.76,15
2297.16,30.76,15
2298.16,31.25,25
2299.16,31.25,27
2300.16,31.25,22
2301.16,30.76,20
2302.17,30.76,20
2303.16,31.25,26
2304.17,30.76,21
2305.17,30.76,12
2306.17,30.76,12
2307.17,30.76,14
2308.17,30.76,12
2309.17,30.76,10
2310.17,30.76,10
2311.18,30.76,10
2312.18,30.76,10
2313.18,30.76,10
2314.18,30.76,8
2315.18,30.76,9
2316.18,30.76,8
2317.18,30.76,11
2318.18,30.76,7
2319.18,30.76,7
2320.18,30.76,9
2321.19,30.76,8
2322.19,30.76,6
2323.19,30.76,10
